geoid,state,population,gop_votes,dem_votes,margin_pct,nocollege_pct,college_pct,grad_pct
01001,Alabama,45359,20484,7439,0.4671775955305662,0.6984501421989021,0.15086311426618754,0.11049626314513107
01003,Alabama,188817,95798,24934,0.5869529205181725,0.6568423394079982,0.19579275171197508,0.11153656715232209
01005,Alabama,19576,5606,4158,0.14829987709954937,0.8509399264405394,0.06272987331426236,0.04301185124642419
01007,Alabama,17694,7572,1619,0.6476988358176476,0.8429976263140048,0.0683282468633435,0.03990053125353227
01009,Alabama,45554,25354,2576,0.8155388471177945,0.8129253194011503,0.09360319620669974,0.05044562497256004
01011,Alabama,8052,1101,2983,-0.460822722820764,0.8836313959264779,0.06122702434177844,0.021236959761549927
01013,Alabama,14588,5172,3251,0.22806600973524874,0.8208116259939676,0.07677543186180422,0.05250891143405539
01015,Alabama,91312,34912,13194,0.4514613561717873,0.7618166287015945,0.11606360609777466,0.0691256351848607
01017,Alabama,27309,8711,5405,0.2342023236044205,0.8261379032553371,0.09143505803947416,0.0433922882566187
01019,Alabama,20477,11358,1553,0.7594299434590659,0.8121306832055477,0.08595009034526542,0.06192313327147531
01021,Alabama,34534,16920,2698,0.7249464777245387,0.8054381189552325,0.08426478253315572,0.052991254995077314
01023,Alabama,10033,4103,2515,0.23995164702326988,0.8251769161766171,0.09199641184092494,0.03598126183594139
01025,Alabama,17852,6965,4927,0.1713757147662294,0.808760923145866,0.09270669952946449,0.05142280976921353
01027,Alabama,11256,5734,993,0.7047718150735841,0.8288024164889837,0.10660980810234541,0.0363361762615494
01029,Alabama,11927,6988,605,0.8406426972211247,0.7914815125345854,0.10371426175903413,0.06514630669908611
01031,Alabama,41186,17495,4601,0.5835445329471397,0.7557665226047686,0.11965230903705143,0.08371776817365124
01033,Alabama,45337,19714,7137,0.4683996871624893,0.7690627963914684,0.12292388115667115,0.06689900081611046
01035,Alabama,9106,3423,2580,0.14042978510744628,0.8116626400175708,0.06226663738194597,0.055128486712057986
01037,Alabama,8581,3758,1478,0.43544690603514136,0.8319543176785923,0.09707493299149283,0.042535834984267565
01039,Alabama,29328,14677,2314,0.7276205049732212,0.7997135842880524,0.09257364975450082,0.06645526459356246
01041,Alabama,10128,5000,1457,0.5487068297971194,0.7929502369668247,0.10446287519747235,0.04778830963665087
01043,Alabama,69331,38704,4039,0.8110099899398732,0.7872524556114869,0.11628275951594524,0.0599443250494007
01045,Alabama,37998,14476,4484,0.5270042194092827,0.7729617348281489,0.12611190062634875,0.05708195168166746
01047,Alabama,28590,5190,10236,-0.3271100739012058,0.7895068205666317,0.10349772647778943,0.05141657922350472
01049,Alabama,54504,25633,3758,0.7442754584736824,0.8206186701893439,0.08395714076031117,0.04792308821370909
01051,Alabama,69414,31374,9774,0.5249343832020997,0.7283256979859971,0.14852911516408793,0.07387558705736595
01053,Alabama,28342,10884,3964,0.4660560344827586,0.8396725707430668,0.07755274857102533,0.03898807423611601
01055,Alabama,80721,35653,10027,0.5609894921190893,0.7993582834702246,0.09994920776501778,0.061755924728385425
01057,Alabama,12721,7158,1142,0.7248192771084337,0.805046773052433,0.08702146057699867,0.05054634069648613
01059,Alabama,23953,10417,1568,0.7383395911556112,0.8124243309815055,0.09126205485742914,0.046507744332651445
01061,Alabama,20816,10929,1391,0.7741883116883117,0.8337336664104535,0.09050730207532667,0.03430053804765565
01063,Alabama,5967,885,3133,-0.5594823295171727,0.8416289592760181,0.08530249706720296,0.04390816155522038
01065,Alabama,11234,3369,3868,-0.06895122288240983,0.8003382588570411,0.09845113049670642,0.05091685953355884
01067,Alabama,13880,6989,2263,0.5108084738434933,0.7639048991354467,0.13530259365994235,0.06865994236311239
01069,Alabama,82816,32469,11352,0.48189224344492365,0.7472227588871716,0.13345247295208656,0.07604810664605874
01071,Alabama,41856,20073,3276,0.7193884106385713,0.8140529434250765,0.08863723241590214,0.05516532874617737
01073,Alabama,515654,131123,162112,-0.10567974491448838,0.6259371594130948,0.2040224646759261,0.12943369003246363
01075,Alabama,10724,6033,806,0.7642930252960959,0.850988437150317,0.06546064901156284,0.04298769116001492
01077,Alabama,76489,32708,10326,0.5201003857415067,0.7069513263345056,0.15221796598203663,0.09027441854384291
01079,Alabama,25960,13024,2983,0.6272880614731056,0.8064329738058552,0.09822804314329737,0.047419106317411405
01081,Alabama,140096,46020,25798,0.28157286474142973,0.6028152124257652,0.20194009821836456,0.14660661260849703
01083,Alabama,83624,37887,14581,0.4441945566821682,0.6823878312446188,0.17987659045250168,0.10223141681813834
01085,Alabama,7809,1758,3867,-0.37493333333333334,0.8080420028172621,0.09066461774875144,0.04289921885004482
01087,Alabama,16007,1682,6084,-0.5668297707957765,0.7742237770975199,0.09033547822827513,0.06915724370587868
01089,Alabama,310781,105430,87824,0.09110290084551936,0.5448048625881248,0.25663087511784827,0.16344950302624678
01091,Alabama,14741,4995,4631,0.037814253064616665,0.7719286344210027,0.11254324672681636,0.07312936707143342
01093,Alabama,23015,12245,1197,0.8219015027525666,0.8474038670432327,0.08338040408429286,0.03958288072995872
01095,Alabama,73181,34434,5553,0.7222597344136844,0.7611675161585657,0.13477541984941446,0.06034353179103866
01097,Alabama,316486,100759,72055,0.1660976541252445,0.7238772015191826,0.15191825230815897,0.07911566388402647
01099,Alabama,15426,6007,3740,0.23258438493895559,0.8282769350447297,0.056981719175418125,0.04485932840658628
01101,Alabama,172489,30477,57946,-0.31065446772898453,0.6391653960542412,0.18488135475305673,0.12524276910411677
01103,Alabama,94858,40449,12392,0.5309702692984615,0.7385144110143583,0.1428872630669,0.07154905226759999
