Gm#,Date,Column3,Tm,Column5,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
44,2025-05-17,boxscore,SEA,@,SDP,W,4,1,,25-19,1,up 1.5,Speier,Morejón,Muñoz,2:43,N,42240,1.18,++,
45,2025-05-18,boxscore,SEA,@,SDP,W,6,1,,26-19,1,up 2.5,Woo,King,,2:41,D,43320,1.2,+++,
46,2025-05-19,boxscore,SEA,@,CHW,W,5,1,,27-19,1,up 2.5,Castillo,Martin,Muñoz,2:28,N,10380,1.25,++++,
47,2025-05-20,boxscore,SEA,@,CHW,L,0,1,,27-20,1,up 2.5,Houser,Lawrence,Leasure,2:25,N,11983,1.28,-,
48,2025-05-21,boxscore,SEA,@,CHW,W,6,5,,28-20,1,up 3.5,Legumina,Vasil,Muñoz,2:43,D,10556,1.25,+,
49,2025-05-22,boxscore,SEA,@,HOU,L,2,9,,28-21,1,up 2.5,Dubin,Kirby,,2:56,N,29512,1.43,-,
50,2025-05-23,boxscore,SEA,@,HOU,W,5,3,,29-21,1,up 3.5,Hancock,Abreu,Muñoz,2:48,N,34664,1.44,+,
51,2025-05-24,boxscore,SEA,@,HOU,L,1,2,,29-22,1,up 2.5,Valdez,Woo,Hader,2:34,D,35785,,-,
52,2025-05-25,boxscore,SEA,@,HOU,L-wo,3,5,,29-23,1,up 1.5,King,Legumina,,2:55,D,35526,1.48,--,
53,2025-05-27,boxscore,SEA,,WSN,W,9,1,,30-23,1,up 1.5,Evans,Parker,,2:18,N,19861,1.23,+,
54,2025-05-28,boxscore,SEA,,WSN,L,0,9,,30-24,1,up 0.5,Williams,Kirby,,2:23,N,19475,1.23,-,
55,2025-05-29,boxscore,SEA,,WSN,L,3,9,10,30-25,1,up 0.5,Ferrer,Snider,,3:08,N,19599,1.2,--,
56,2025-05-30,boxscore,SEA,,MIN,L,6,12,10,30-26,2,0.5,Durán,Legumina,,2:51,N,39614,1.23,---,
57,2025-05-31,boxscore,SEA,,MIN,W-wo,5,4,11,31-26,1,up 0.5,Snider,Sands,,3:46,D,37457,1.25,+,
58,2025-06-01,boxscore,SEA,,MIN,W-wo,2,1,,32-26,1,up 0.5,Muñoz,Jax,,2:25,D,39003,1.23,++,
59,2025-06-03,boxscore,SEA,,BAL,L,1,5,,32-27,2,0.5,Sugano,Kirby,,2:34,N,21089,1.17,-,
60,2025-06-04,boxscore,SEA,,BAL,L,2,3,,32-28,2,0.5,Cano,Vargas,Bautista,2:41,N,19231,1.17,--,
61,2025-06-05,boxscore,SEA,,BAL,L,3,4,,32-29,2,1.5,Eflin,Woo,Baker,2:20,D,27887,1.16,---,
62,2025-06-06,boxscore,SEA,@,LAA,L,4,5,,32-30,2,2.5,Hendricks,Miller,Jansen,2:22,N,34915,1.21,----,
63,2025-06-07,boxscore,SEA,@,LAA,L,6,8,,32-31,2,3.5,Brogdon,Castillo,Jansen,3:06,N,29407,1.14,-----,
64,2025-06-08,boxscore,SEA,@,LAA,W,3,2,,33-31,2,2.5,Kirby,Anderson,Muñoz,2:33,D,31416,1.07,+,
65,2025-06-09,boxscore,SEA,@,ARI,L-wo,4,8,11,33-32,2,3.0,Beeks,Vargas,,3:38,N,22799,1.09,-,
66,2025-06-10,boxscore,SEA,@,ARI,L,3,10,,33-33,2,3.0,Pfaadt,Evans,Jarvis,2:59,N,25140,0.99,--,
67,2025-06-11,boxscore,SEA,@,ARI,L,2,5,,33-34,2,4.0,Rodríguez,Woo,Miller,2:12,D,25969,0.95,---,
68,2025-06-13,boxscore,SEA,,CLE,W,7,2,,34-34,2,4.5,Vargas,Herrin,,2:42,N,34378,0.92,+,
69,2025-06-14,boxscore,SEA,,CLE,W-wo,4,3,,35-34,2,4.5,Kowar,Clase,,2:59,N,32211,0.98,++,
70,2025-06-15,boxscore,SEA,,CLE,W,6,0,,36-34,2,4.5,Hancock,Ortiz,,2:04,D,40871,1.05,+++,
71,2025-06-16,boxscore,SEA,,BOS,L,0,2,,36-35,2,4.5,Giolito,Gilbert,Chapman,2:30,N,24490,1.12,-,
72,2025-06-17,boxscore,SEA,,BOS,W,8,0,,37-35,2,4.5,Woo,Buehler,,2:19,N,26974,1.04,+,
73,2025-06-18,boxscore,SEA,,BOS,L,1,3,,37-36,2,5.5,Crochet,Castillo,Weissert,2:14,D,32200,1.09,-,
74,2025-06-20,boxscore,SEA,@,CHC,W,9,4,,38-36,2,5.0,Bazardo,Thielbar,,2:52,D,40787,1.0,+,
75,2025-06-21,boxscore,SEA,@,CHC,L,7,10,,38-37,2,5.0,Keller,Hancock,,3:09,D,39047,1.05,-,
76,2025-06-22,boxscore,SEA,@,CHC,W,14,6,,39-37,2,5.0,Gilbert,Rea,,2:55,D,36185,1.0,+,
77,2025-06-23,boxscore,SEA,@,MIN,W,11,2,,40-37,2,4.5,Woo,Ober,,2:24,N,17909,1.13,++,
78,2025-06-24,boxscore,SEA,@,MIN,W,6,5,,41-37,2,4.5,Muñoz,Durán,Brash,2:30,N,23532,1.15,+++,
79,2025-06-25,boxscore,SEA,@,MIN,L,0,2,,41-38,2,5.5,Ryan,Kirby,Durán,2:14,N,15850,1.22,-,
80,2025-06-26,boxscore,SEA,@,MIN,L,1,10,,41-39,2,6.5,Woods Richardson,Hancock,,2:34,D,19666,1.16,--,
81,2025-06-27,boxscore,SEA,@,TEX,W,7,6,12,42-39,2,6.5,Bazardo,Armstrong,,3:36,N,30228,1.11,+,
82,2025-06-28,boxscore,SEA,@,TEX,L-wo,2,3,10,42-40,2,6.5,Armstrong,Muñoz,,2:50,D,35506,1.16,-,
83,2025-06-29,boxscore,SEA,@,TEX,W,6,4,12,43-40,2,6.5,Thornton,Winn,,3:23,D,31126,1.14,+,
84,2025-06-30,boxscore,SEA,,KCR,W,6,2,,44-40,2,6.0,Kirby,Wacha,,2:19,N,27309,1.13,++,
85,2025-07-01,boxscore,SEA,,KCR,L,3,6,,44-41,2,7.0,Erceg,Hancock,Estévez,2:39,N,22351,1.21,-,
86,2025-07-02,boxscore,SEA,,KCR,W,3,2,,45-41,2,7.0,Vargas,Zerpa,Muñoz,2:38,N,24752,1.14,+,
87,2025-07-03,boxscore,SEA,,KCR,L,2,3,,45-42,2,7.0,Lugo,Legumina,Estévez,2:45,N,38030,1.15,-,
88,2025-07-04,boxscore,SEA,,PIT,W,6,0,,46-42,2,7.0,Woo,Falter,,2:13,D,33061,1.12,+,
89,2025-07-05,boxscore,SEA,,PIT,W,1,0,,47-42,2,7.0,Castillo,Ferguson,Muñoz,2:17,N,32295,1.13,++,
90,2025-07-06,boxscore,SEA,,PIT,W,1,0,,48-42,2,7.0,Kirby,Mlodzinski,Muñoz,2:30,D,35174,1.11,+++,
91,2025-07-08,boxscore,SEA,@,NYY,L,3,10,,48-43,2,6.5,Warren,Gilbert,,2:40,N,38641,1.27,-,
92,2025-07-09,boxscore,SEA,@,NYY,L,6,9,,48-44,2,6.5,Schlittler,Evans,Williams,2:37,N,35651,1.24,--,
93,2025-07-10,boxscore,SEA,@,NYY,L-wo,5,6,10,48-45,2,7.0,Williams,Speier,,3:09,N,41241,1.21,---,
94,2025-07-11,boxscore,SEA,@,DET,W,12,3,,49-45,2,6.0,Castillo,Skubal,,3:04,N,41681,1.08,+,
95,2025-07-12,boxscore,SEA,@,DET,W,15,7,,50-45,2,6.0,Kirby,Mize,,3:19,D,36438,1.21,++,
96,2025-07-13,boxscore,SEA,@,DET,W,8,4,,51-45,2,5.0,Brash,Kahnle,,2:59,D,34671,1.26,+++,
97,2025-07-18,boxscore,SEA,,HOU,W,6,1,,52-45,2,4.0,Castillo,Walter,,2:22,N,41834,1.48,++++,
98,2025-07-19,boxscore,SEA,,HOU,W-wo,7,6,11,53-45,2,3.0,Bazardo,Neris,,3:53,N,31700,1.63,+++++,
99,2025-07-20,preview,SEA,,HOU,4:10 pm,4:10 pm,4:10 pm,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,,,
